id,current,real_power_from,reactive_power_from,real_power_to,reactive_power_to,resistance,reactance,susceptance,rateA,rateB,rateC,ratio,angle,angmin,angmax
1,262.07565183236005,-160.9657996945793,4.628399020154407,161.88066577135857,-67.11673936274713,0.0035,0.0411,0.6987,600.0,600.0,-350.1587978834186,0.0,0.0,-360.0,360.0
2,130.19062491294622,63.36672279395787,-48.825758851425874,-63.327950534295496,-29.638814874264053,0.001,0.025,0.75,1000.0,1000.0,154.95879789389676,0.0,0.0,-360.0,360.0
3,594.6238894835877,330.2004212125831,148.763810501325,-328.50714877129514,-155.1143284148809,0.0013,0.0151,0.2572,500.0,500.0,637.4524457170885,0.0,0.0,-360.0,360.0
4,421.5940236214976,-242.0811163222655,85.6250800548284,246.61519425054504,-95.35853905501801,0.007,0.0086,0.146,500.0,500.0,-489.76640186967023,0.0,0.0,-360.0,360.0
5,493.8702950782351,-249.99999519489856,-167.27212747289937,249.99999519489862,183.0360332520733,0.0,0.0181,0.0,900.0,900.0,-499.99999999077005,1.025,0.0,-360.0,360.0
6,271.02183788592123,45.46803852130572,154.10976765392215,-45.08114829747347,-168.78755120613,0.0013,0.0213,0.2214,500.0,500.0,71.61323940110246,0.0,0.0,-360.0,360.0
7,65.7592810542121,-38.96087009353508,-1.3954394796632068,38.978764279825974,-19.416687625024576,0.0011,0.0133,0.2138,500.0,500.0,-81.36770130995386,0.0,0.0,-360.0,360.0
8,334.97909899050717,-190.94489986681273,13.052626951242804,191.2671724220098,-20.156950063451266,8.0E-4,0.0128,0.1342,600.0,600.0,-399.1593813670897,0.0,0.0,-360.0,360.0
9,464.6583849564808,-263.9739106547528,-28.265072868449476,264.5878960034414,25.45403352210109,8.0E-4,0.0129,0.1382,500.0,500.0,-529.99719551577,0.0,0.0,-360.0,360.0
10,911.3575818625443,-520.3610434766991,1.898207970135346,520.9542220040415,1.8461079549378534,2.0E-4,0.0026,0.0434,1200.0,1200.0,-1077.5069362749593,0.0,0.0,-360.0,360.0
11,577.2558122188091,329.0938486448501,18.258743267510322,-328.1394063800996,-18.30358275973417,8.0E-4,0.0112,0.1476,900.0,900.0,677.6415842757715,0.0,0.0,-360.0,360.0
12,778.5454805069817,442.2311613733252,49.906062016305974,-440.92899268361515,-40.20325515296677,6.0E-4,0.0092,0.113,900.0,900.0,907.1255415698735,0.0,0.0,-360.0,360.0
13,571.1897563402524,-326.38548484678614,-8.941017974128581,327.2004138488732,5.736474342674253,7.0E-4,0.0082,0.1389,480.0,480.0,-641.4611990068503,0.0,0.0,-360.0,360.0
14,1116.5262673856914,-636.7999780340386,-42.81114416394091,636.7999780340386,154.0963268327025,0.0,0.025,0.0,1800.0,1800.0,-1344.4450180489762,1.07,0.0,-360.0,360.0
15,373.14353842190786,207.12902199502625,-43.796738976298144,-206.93146268394864,39.0285618653068,4.0E-4,0.0046,0.078,900.0,900.0,436.78348100871625,0.0,0.0,-360.0,360.0
16,348.13820960642863,13.071038060454523,-197.32496961648317,-12.24077875069999,173.48675559832427,0.0023,0.0363,0.3804,900.0,900.0,67.9601426715124,0.0,0.0,-360.0,360.0
17,175.7651143503279,5.741706585456279,-106.88402520711817,-5.72226495705418,-18.600498016913445,0.001,0.025,1.2,900.0,900.0,53.21355254244058,0.0,0.0,-360.0,360.0
18,581.6818159762588,331.4336953100109,47.21092458959383,-330.9489987002805,-48.73834455282993,4.0E-4,0.0043,0.0729,600.0,600.0,652.4908953529906,0.0,0.0,-360.0,360.0
19,553.7274690705127,318.56627978743535,8.898074586550859,-318.12803408684675,-10.937148023547504,4.0E-4,0.0043,0.0729,600.0,600.0,647.509101381148,0.0,0.0,-360.0,360.0
20,1133.5803845875648,-649.9999913228141,-56.1089969244848,649.9999913228141,147.87759245797835,0.0,0.02,0.0,900.0,900.0,-1299.999999652964,1.07,0.0,-360.0,360.0
21,75.27490096094465,-3.71620379095635,-42.12173609955372,3.7485765573314604,43.00187068537703,0.0016,0.0435,0.0,500.0,500.0,-8.445485126934786,1.006,0.0,-360.0,360.0
22,82.11921857179495,-4.8137957977231665,-45.878262308736375,4.852323139330544,46.925724408686946,0.0016,0.0435,0.0,500.0,500.0,-8.614514828938969,1.006,0.0,-360.0,360.0
23,548.9060084173367,313.27570954454313,-35.988576168707105,-312.3123996968377,30.864461817914982,9.0E-4,0.0101,0.1723,600.0,600.0,637.9112171674044,0.0,0.0,-360.0,360.0
24,128.4207036088374,47.724500614359904,-56.31849521402931,-47.650025974885324,23.062544383735688,0.0018,0.0217,0.366,600.0,600.0,104.67590942177405,0.0,0.0,-360.0,360.0
25,559.4849511990341,-272.34996709538956,-176.06254378572893,273.3294456504623,169.88214400964495,9.0E-4,0.0094,0.171,600.0,600.0,-535.4951816597884,0.0,0.0,-360.0,360.0
26,389.64166380651056,220.37991284152156,-66.88469054179696,-220.00640817485015,58.449092550322156,7.0E-4,0.0089,0.1342,600.0,600.0,449.99343439846643,0.0,0.0,-360.0,360.0
27,765.9397112264626,-451.1409099280338,37.839582079721374,454.51465864135724,-26.495305147118017,0.0016,0.0195,0.304,600.0,600.0,-902.2801865362925,0.0,0.0,-360.0,360.0
28,558.5640188976096,-328.34291235842056,-34.5071803866046,329.22839022436017,24.35122031037478,8.0E-4,0.0135,0.2548,600.0,600.0,-656.6810797834705,0.0,0.0,-360.0,360.0
29,245.67684153847384,-43.22553618925407,-138.62985495895268,43.287398117094995,133.1378821473651,3.0E-4,0.0059,0.068,600.0,600.0,-86.4490083869897,0.0,0.0,-360.0,360.0
30,332.35889849228533,197.2552401663122,0.8347311404252808,-196.97875912808018,-10.583312320971876,7.0E-4,0.0082,0.1319,600.0,600.0,397.9694346250653,0.0,0.0,-360.0,360.0
31,106.99050196351642,22.751167407501853,-59.28382360504314,-22.719500314624277,27.74660993847985,0.0013,0.0173,0.3216,600.0,600.0,51.247021122336456,0.0,0.0,-360.0,360.0
32,296.4666467020962,174.6580615209523,16.198041137049508,-174.4383720883598,-11.867020894512134,7.0E-4,0.0138,0.0,900.0,900.0,349.31694384363703,1.06,0.0,-360.0,360.0
33,1063.5442283400905,-629.1727213683424,10.297264049408762,631.9999998974266,47.05610039772623,7.0E-4,0.0142,0.0,900.0,900.0,-1258.3449440257073,1.07,0.0,-360.0,360.0
